col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col23,col24,col25,col26,col27,col28,col29,col30,col31,target
14,2,1,2,1,2,3,2,4,4,1,2,1,1,1,1,2,1,2,1,2,2,3,2,2,2,3,2,1
48,1,2,2,2,1,2,4,3,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,0
15,3,1,2,2,1,1,4,4,3,2,2,1,1,1,2,1,2,1,1,2,4,3,3,1,2,1,3,0
62,1,1,2,1,3,3,4,2,5,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,3,3,0
40,2,2,2,1,1,1,1,1,6,2,2,1,2,2,2,1,2,1,1,2,2,1,3,1,1,2,1,1
53,1,2,1,1,3,1,1,2,1,5,2,1,2,2,1,1,2,2,2,1,3,1,3,2,2,2,1,1
24,3,2,1,2,1,1,3,4,5,6,2,2,2,1,2,1,2,1,1,1,3,1,2,1,2,2,3,0
26,3,2,2,1,3,1,3,2,6,5,2,1,1,2,1,1,1,2,2,1,4,3,2,2,1,2,1,0
60,1,2,2,1,3,1,4,2,4,4,2,1,2,2,2,2,1,2,2,1,1,3,1,2,1,2,2,1
41,1,2,1,2,2,1,4,2,1,1,1,2,2,1,2,2,1,2,1,1,1,2,2,1,2,1,2,1
29,1,1,1,2,3,3,4,4,5,4,1,1,1,1,1,2,2,2,1,1,1,1,3,1,1,3,2,0
15,3,1,1,1,2,1,1,3,5,1,1,2,1,2,1,2,1,1,2,2,3,3,3,1,2,1,1,0
45,2,1,1,1,1,3,4,2,2,3,2,2,2,1,1,1,2,2,1,1,4,1,1,2,1,1,2,1
65,1,1,1,1,1,3,1,4,1,4,1,2,2,2,2,1,2,1,1,2,3,1,3,2,1,1,2,1
9,2,1,2,2,2,3,4,1,1,5,2,2,2,1,2,1,2,1,2,2,4,2,2,2,2,3,2,0
1,3,1,1,1,1,2,3,1,4,3,2,1,1,1,2,1,2,2,2,1,4,2,1,1,2,1,3,0
8,1,2,1,2,2,1,3,4,6,4,2,1,2,1,1,1,2,1,2,2,1,3,1,1,2,1,3,1
63,1,1,2,1,1,2,1,2,4,3,1,1,2,2,1,1,2,2,2,1,3,3,1,2,1,2,2,1
11,3,1,1,2,2,1,4,3,1,6,2,2,2,2,1,2,2,1,2,2,3,2,2,2,1,3,2,0
8,1,1,2,1,2,2,4,1,2,6,1,1,2,1,1,2,1,1,1,2,4,3,3,1,1,2,3,1
35,2,2,2,1,3,3,3,3,2,6,2,2,2,1,1,2,1,2,2,2,3,3,2,1,2,2,3,0
35,3,2,2,1,1,2,1,4,6,3,2,2,1,1,1,2,1,2,1,1,4,2,1,1,2,1,1,0
33,3,2,1,2,3,3,3,1,4,3,1,2,2,1,1,1,1,2,2,2,3,1,3,2,2,2,3,1
5,1,1,1,2,2,2,1,2,3,5,1,2,2,1,1,2,1,2,1,1,3,1,1,1,2,1,2,0
41,3,1,2,1,3,1,1,1,5,3,2,1,1,2,1,2,1,1,2,1,4,2,2,1,1,2,3,0
28,1,2,1,1,2,1,3,2,4,5,2,2,2,1,2,1,2,1,2,1,3,1,1,2,1,3,2,1
7,1,2,1,2,1,2,2,3,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,3,1,1
12,3,2,1,1,1,2,4,1,1,3,1,2,1,1,2,2,1,2,2,2,1,2,1,1,2,2,3,0
34,1,1,1,1,1,1,1,4,2,1,1,2,1,2,1,1,1,2,2,2,2,3,1,1,2,1,1,1
33,2,1,1,1,2,2,4,1,1,5,2,2,2,1,2,1,1,1,2,2,4,2,1,2,1,1,2,1
48,2,2,1,1,3,2,4,2,4,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,0
23,1,2,1,2,1,1,4,3,5,5,2,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,0
62,2,2,2,2,2,3,4,4,6,3,1,2,2,1,1,1,2,1,1,2,4,2,2,1,2,1,2,0
37,1,2,1,2,3,1,2,2,5,5,2,2,1,1,1,1,1,1,2,1,3,1,2,2,2,2,1,0
44,2,1,1,1,2,1,2,2,4,4,2,2,1,1,1,2,2,2,1,1,4,2,2,2,2,3,3,0
35,3,2,1,1,2,2,4,4,5,4,1,2,1,1,1,1,2,2,1,1,3,3,3,1,2,1,3,0
65,1,2,1,2,1,1,3,4,5,1,1,1,1,2,2,2,1,1,1,1,4,1,1,1,1,2,2,1
47,1,1,1,1,2,1,4,3,6,5,2,2,1,2,1,1,1,2,1,1,3,2,2,1,2,1,2,1
3,1,2,2,1,2,2,1,2,3,3,2,1,2,2,1,1,2,2,1,2,4,1,3,1,2,2,1,1
1,1,1,1,1,3,2,4,2,3,3,1,1,1,2,2,1,1,1,1,1,4,2,3,2,1,1,1,1
5,1,2,2,2,1,3,2,3,3,6,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,3,2,0
14,1,2,2,2,2,1,1,1,1,6,2,2,2,2,2,1,2,1,2,1,3,2,1,2,1,2,2,1
27,3,2,2,2,2,3,1,4,3,4,2,2,2,1,2,1,1,1,2,1,4,1,1,2,2,2,3,0
9,3,2,2,2,3,3,2,3,4,5,1,2,2,2,1,2,1,1,1,2,1,1,2,2,2,3,3,0
15,2,2,2,2,2,3,2,4,6,3,2,2,1,1,2,1,2,2,2,2,1,3,1,2,1,3,3,1
42,1,2,1,1,2,3,1,3,3,2,1,2,1,2,2,2,2,2,1,2,1,3,1,2,1,1,2,0
51,2,1,1,1,2,1,2,3,6,3,1,2,2,1,2,2,1,1,1,2,3,3,1,2,1,2,1,1
63,2,1,2,1,2,1,2,2,4,5,1,1,2,1,2,2,2,1,2,1,1,3,3,2,1,2,1,0
52,3,2,1,2,2,1,4,4,3,4,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,0
4,2,1,2,1,3,3,1,3,5,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1,1,2,0
23,3,1,1,1,2,2,2,2,3,3,2,2,1,1,1,1,2,1,1,1,4,2,3,1,1,2,2,0
15,2,2,1,1,2,1,2,3,4,6,2,2,2,1,2,2,1,2,1,1,3,1,2,2,2,3,1,1
43,1,2,2,1,2,3,1,4,4,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,0
29,2,1,1,2,2,3,4,3,6,1,2,2,2,2,2,1,2,2,2,2,1,2,3,2,2,2,1,0
36,3,1,1,2,1,3,2,2,4,4,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,0
13,3,2,2,1,1,3,4,2,3,2,2,1,2,1,1,1,1,1,2,1,3,1,1,2,2,3,3,0
32,3,1,2,1,1,3,4,1,1,1,2,1,2,2,1,1,2,1,1,2,2,3,1,2,1,2,3,0
59,2,1,2,2,1,3,4,4,4,1,1,2,1,1,1,2,2,1,1,1,2,3,3,1,2,2,2,1
28,2,2,1,2,3,1,3,1,6,3,1,1,2,2,2,2,1,2,1,1,2,1,1,2,1,2,3,0
66,3,2,1,1,1,2,1,2,1,5,2,2,1,2,2,1,1,1,1,2,1,2,3,1,1,3,1,0
42,1,2,2,1,3,1,3,1,3,3,2,2,2,2,2,2,2,1,2,2,1,2,3,1,1,1,3,0
45,1,1,1,1,1,1,1,4,6,3,1,1,1,1,2,1,2,2,1,1,2,1,3,1,1,3,1,1
62,2,1,1,1,3,3,4,2,1,4,1,1,1,2,1,2,2,1,2,1,1,2,2,2,1,3,2,0
57,2,2,2,2,1,1,4,1,1,3,1,1,2,1,2,2,2,2,2,2,2,1,3,2,2,3,2,1
6,3,1,2,1,2,2,4,1,4,6,2,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,0
28,2,1,1,2,1,2,4,2,6,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,3,1,0
28,2,2,1,2,1,3,4,3,3,2,2,2,2,2,2,2,1,1,2,2,4,2,2,1,2,2,3,0
44,3,2,1,1,1,2,3,2,4,5,2,2,2,2,1,2,1,2,2,2,4,3,3,2,2,2,1,0
30,3,1,2,2,2,3,4,1,5,1,2,1,1,2,2,1,2,2,2,1,4,1,1,1,2,1,2,0
62,2,2,1,2,3,2,4,4,2,1,1,1,2,2,1,1,1,2,1,1,3,2,3,2,2,1,2,0
62,1,1,1,1,3,2,4,1,1,5,2,2,1,2,1,1,2,2,1,2,3,3,3,2,2,3,3,0
1,2,2,1,2,2,1,3,2,3,6,2,1,1,2,2,1,2,1,1,2,4,1,1,1,2,2,1,1
27,1,2,2,1,1,2,2,1,1,5,2,1,1,1,2,2,2,2,1,1,1,3,3,2,1,2,1,1
62,1,1,2,1,1,3,1,2,3,3,1,2,2,2,1,1,2,2,2,2,3,2,2,2,1,1,3,0
3,1,2,1,1,1,2,1,1,4,6,2,2,1,2,2,2,1,2,2,1,4,3,1,1,1,2,2,1
70,3,1,1,2,3,2,2,1,2,4,2,2,1,2,1,1,1,1,2,2,4,3,1,2,2,3,1,0
27,3,2,2,2,3,1,2,3,2,1,2,1,2,2,2,2,2,1,2,2,4,2,1,2,1,2,3,0
9,3,2,2,2,2,3,3,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,3,2,1,3,3,0
62,2,2,1,2,2,3,1,3,2,5,1,2,1,1,2,2,1,1,1,2,2,2,3,2,1,1,3,0
37,3,1,1,1,3,3,2,3,1,5,2,1,1,2,1,2,1,2,2,2,3,2,1,1,1,1,3,0
51,3,2,1,1,1,1,2,1,3,1,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2,2,1,0
44,2,1,1,2,1,2,3,2,5,1,2,2,2,1,2,1,2,1,2,1,1,1,3,1,2,2,3,0
24,2,1,2,1,1,3,3,4,3,3,1,2,1,1,1,1,2,2,1,1,2,2,3,1,1,1,1,0
59,1,2,2,2,1,2,4,1,1,1,2,1,2,1,1,2,2,1,2,2,3,1,3,2,2,3,2,1
32,2,2,1,2,2,2,2,2,6,6,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,3,3,1
52,2,1,1,1,2,2,3,3,4,6,2,1,2,2,1,2,2,2,2,2,3,2,3,1,1,3,3,1
62,3,2,1,2,3,1,1,1,5,5,1,2,1,1,1,2,2,2,2,1,3,2,3,1,2,1,2,0
58,1,2,1,2,2,2,3,4,5,2,2,1,2,2,2,2,2,2,2,1,3,2,2,1,2,1,3,1
52,1,1,2,1,1,1,1,1,6,6,1,2,2,1,1,1,1,1,2,2,4,2,2,2,2,1,1,1
12,2,1,1,1,3,1,4,3,5,6,1,1,2,1,1,1,2,2,2,2,3,3,3,2,1,2,2,0
39,3,1,2,2,2,1,2,3,1,2,1,1,2,2,2,2,1,1,2,1,2,3,1,1,2,1,2,0
2,3,1,2,1,2,3,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,2,1,3,1,0
3,3,1,1,2,2,1,3,4,6,6,1,1,1,1,1,2,1,1,1,2,4,3,2,1,1,3,1,0
56,3,1,1,1,2,3,4,1,2,3,1,1,2,2,2,2,2,2,1,1,3,3,3,2,2,1,2,0
59,2,1,2,1,2,1,2,3,2,2,2,1,2,1,1,1,1,1,1,2,3,3,2,2,2,1,3,1
2,3,1,2,2,1,1,3,2,3,4,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,3,1,0
2,1,1,2,2,1,1,3,4,2,4,1,2,1,2,1,2,2,2,2,1,3,3,1,2,1,1,1,1
54,1,2,1,1,1,1,3,4,5,3,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,0
1,2,2,2,1,2,2,3,2,2,2,1,2,1,1,1,2,2,2,2,1,3,2,2,1,1,1,2,1
19,3,1,1,2,3,2,1,3,6,5,1,2,2,2,1,1,2,2,1,2,4,1,3,2,1,3,3,0
2,3,2,1,1,1,1,4,4,6,3,2,1,1,2,2,2,2,2,2,2,3,1,3,1,1,3,1,0
53,3,2,1,1,1,2,1,1,5,6,1,1,2,1,2,2,1,1,2,1,4,1,2,1,1,1,2,0
44,3,1,2,1,2,3,2,3,5,6,1,1,2,2,2,1,1,1,1,1,3,3,2,2,1,3,2,0
32,2,2,1,1,3,2,4,3,3,6,2,2,2,2,1,1,1,2,2,2,1,1,3,2,2,1,3,1
70,3,2,1,2,1,2,3,2,6,1,1,1,1,1,2,1,2,1,2,2,3,1,1,2,2,3,2,0
32,2,1,1,1,1,2,2,4,2,3,2,1,2,2,2,2,2,2,2,2,1,1,3,2,2,3,2,1
68,3,2,2,1,3,1,3,2,4,4,1,2,1,2,1,2,1,1,1,1,1,2,3,1,2,3,1,0
55,3,2,2,1,2,3,2,4,2,6,2,1,2,1,2,2,2,1,2,2,3,1,3,2,1,1,1,0
56,1,2,1,2,3,1,4,2,4,5,1,1,2,1,2,2,1,1,2,2,4,2,3,1,1,1,1,1
17,2,1,2,1,2,3,4,3,6,2,1,2,2,2,2,2,2,2,2,1,2,2,3,1,2,1,2,0
38,1,1,2,1,1,1,1,2,3,6,1,2,1,2,2,1,1,1,2,2,4,1,1,1,2,2,3,1
24,2,2,1,1,3,2,4,3,1,4,2,1,1,2,1,1,2,1,2,1,3,1,3,2,2,2,3,0
69,3,1,1,2,3,3,2,3,3,2,1,1,1,2,2,1,1,2,1,2,2,3,3,2,2,2,3,0
70,3,1,1,2,1,2,4,2,3,6,1,1,2,2,2,1,1,2,1,1,3,1,1,1,2,3,2,0
11,2,1,1,2,1,3,4,4,4,2,2,1,1,1,1,2,1,2,1,2,2,1,2,2,1,3,1,0
16,1,1,2,2,2,3,4,3,3,3,2,2,1,2,2,1,2,1,1,1,4,1,1,2,2,1,2,1
59,2,1,1,2,1,1,3,2,5,3,1,2,1,1,2,1,2,2,2,1,4,1,3,2,1,3,1,1
70,2,2,2,2,1,1,3,3,3,4,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1
3,3,2,2,2,3,2,4,3,6,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,0
20,1,2,2,1,2,2,2,2,3,6,2,2,1,1,1,2,2,1,2,1,3,3,2,1,2,1,3,1
59,2,2,1,2,1,3,4,3,4,3,2,1,1,2,2,2,2,2,2,1,3,3,1,1,2,3,2,1
36,1,2,1,2,3,3,2,3,6,4,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,3,3,0
19,1,1,1,1,1,1,4,2,3,6,1,1,2,2,1,1,2,2,2,2,2,3,2,2,1,2,2,1
67,2,2,2,1,1,1,3,1,3,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,1,1,3,0
19,1,2,1,2,1,1,2,2,6,1,2,2,2,1,2,2,2,2,1,1,2,3,2,1,1,2,2,1
20,3,2,2,2,1,1,1,4,6,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,3,2,0
52,3,2,1,1,2,1,3,1,6,4,1,1,1,1,1,1,2,2,1,1,1,1,3,1,1,2,1,0
33,3,1,2,2,3,3,3,3,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1
40,3,1,1,1,3,3,4,4,6,5,1,2,2,2,2,2,1,1,2,2,3,1,3,1,1,3,1,0
39,1,1,1,2,1,2,1,1,5,6,2,1,2,1,2,2,1,2,2,1,2,3,1,1,1,3,2,1
1,3,2,1,2,3,3,2,2,5,6,2,1,1,2,2,2,2,2,1,2,3,2,3,2,2,3,1,0
11,2,1,2,1,1,1,1,3,5,4,1,1,2,2,2,2,2,2,1,1,1,2,3,2,2,2,1,0
57,3,1,2,2,3,3,4,1,3,4,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,0
50,2,2,1,2,2,3,3,2,5,2,1,1,2,2,2,1,2,2,2,1,3,1,3,2,1,2,2,0
23,2,1,1,1,2,3,1,1,2,6,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,1,1,0
31,3,2,1,2,3,2,2,2,1,5,2,1,1,2,1,2,2,2,2,1,1,3,2,2,2,1,1,0
42,3,1,2,1,1,2,2,4,1,6,1,2,1,2,2,2,1,1,1,2,2,3,3,1,2,3,2,0
7,1,1,1,2,1,3,3,4,2,4,2,1,1,2,1,1,1,1,2,2,2,1,3,2,2,1,2,1
16,2,2,2,2,1,3,4,3,1,6,2,2,1,2,2,2,2,1,2,2,1,3,1,1,2,3,3,0
60,3,2,1,1,1,1,3,2,1,3,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,3,0
2,1,2,1,1,2,2,1,1,4,4,1,1,1,1,1,1,1,2,2,1,1,2,3,1,2,3,2,1
1,3,2,1,1,1,1,4,3,3,5,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,2,0
48,3,2,1,1,1,1,2,3,4,6,1,2,2,1,1,2,2,2,2,2,3,3,2,2,2,3,1,0
12,3,1,2,1,1,3,4,2,4,4,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,1,3,0
69,2,1,1,2,1,3,4,4,2,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,0
37,3,2,2,1,2,3,1,3,1,5,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,3,0
32,1,1,1,2,3,1,3,1,2,3,1,2,2,1,1,2,1,2,2,1,3,1,1,1,2,2,1,1
9,3,1,1,1,3,1,1,3,5,5,1,2,1,2,1,1,1,1,2,2,4,3,1,1,2,1,3,0
19,3,2,2,2,1,1,2,2,4,4,1,2,1,1,1,2,1,1,2,1,2,1,1,2,2,1,2,0
48,1,1,1,1,1,3,3,4,1,3,2,2,1,1,2,2,2,1,1,1,4,3,3,2,1,1,2,0
3,1,1,2,2,3,3,4,2,3,3,1,2,2,2,1,2,2,1,1,1,2,3,3,1,1,2,2,1
20,2,2,1,1,2,3,1,3,4,3,2,1,1,2,1,1,2,2,1,2,1,1,3,1,2,3,1,1
24,2,1,1,1,2,1,4,1,1,1,1,2,2,2,2,2,1,2,1,1,2,1,3,1,1,3,3,0
54,2,2,1,2,2,1,1,3,5,5,2,1,2,1,1,1,1,2,2,2,2,3,2,1,1,1,1,0
33,2,2,2,1,2,2,2,3,2,6,1,1,2,2,1,1,1,2,2,1,1,3,1,2,1,3,2,1
24,1,2,1,2,2,3,2,4,1,4,2,2,2,1,1,1,1,2,2,2,3,3,2,2,1,2,3,0
36,3,2,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,2,1,2,2,2,1,1,2,2,3,0
38,3,1,2,2,2,2,2,4,4,3,1,1,1,2,2,1,1,2,2,2,1,2,3,2,2,1,1,0
25,3,2,1,2,2,1,4,3,1,6,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2,0
18,2,1,2,1,2,1,3,1,5,4,2,2,2,2,1,1,2,2,1,2,3,2,1,1,2,3,1,0
66,1,2,2,2,1,3,1,1,3,2,2,2,1,2,1,1,1,1,1,1,4,2,3,2,1,3,1,1
54,1,1,2,1,2,2,4,4,5,4,2,2,2,1,2,1,2,2,1,1,3,3,1,1,2,3,2,0
35,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1
61,3,2,1,1,3,2,3,1,3,2,1,1,2,2,2,1,1,1,2,1,1,1,3,2,2,1,1,0
41,2,2,1,1,1,2,2,1,5,6,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,3,0
33,1,1,1,1,3,3,3,3,3,3,1,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2,2,1
68,2,1,1,2,1,2,3,1,6,2,2,1,1,1,1,2,1,1,1,2,2,2,3,2,2,3,2,0
33,1,2,1,1,3,3,1,4,4,1,1,2,1,2,2,1,1,2,2,2,4,1,1,2,2,1,2,1
14,2,1,2,1,1,3,3,1,1,3,1,2,2,1,1,2,2,2,1,1,4,1,1,1,1,1,2,1
21,1,1,1,2,1,3,2,3,3,6,2,2,1,1,2,2,2,2,2,2,2,3,1,2,2,1,3,1
48,2,1,1,1,3,2,1,3,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,3,3,0
20,1,2,1,1,2,1,2,1,4,5,1,1,1,2,1,1,1,2,1,2,3,3,2,1,1,3,1,1
8,1,1,1,2,2,3,3,4,1,6,1,2,1,1,1,1,2,1,1,2,2,3,2,2,2,2,1,1
7,2,2,1,1,2,1,3,1,4,6,2,2,1,2,2,1,2,1,2,2,4,1,2,2,1,2,2,1
67,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,3,3,1,2,2,1,0
17,3,1,2,2,2,1,1,4,1,5,2,2,2,1,2,2,1,2,1,1,2,2,2,1,2,2,3,0
33,2,2,1,2,1,1,3,4,4,4,2,2,2,1,1,2,1,1,2,1,3,3,1,1,1,1,2,1
48,1,1,2,2,2,3,4,4,4,1,1,1,1,1,2,2,2,2,1,2,1,1,3,2,1,2,2,0
